"OV1002 Carbo Day1","OV1002 Carbo Day2","OV1002 Carbo Day4","OV1002 Carbo Day7","OV1002 Carbo Day14","Molecule"
-0.323700276,0.549015588,-0.151565392,-0.065806686,0.241508397,"ERCC1"
0.013737816,0.412717705,-0.354390864,-0.201532668,0.369844117,"MLH1"
0.152014469,0.157123965,-0.172968763,0.016052441,0.115082469,"MSH2"
-0.169546396,0.468843052,-0.190178102,0.00660720899999999,0.145862833,"MSH6"
-0.258819677,0.417468392,-0.150256772,-0.062177977,0.319847571,"BRCA1"
-0.424710086,0.604017737,-0.28614321,-0.00658500200000001,0.378666465,"PMS2"
-1.047002713,1.0018271,0.90179347,-0.056302802,0.314290478,"EGFR"
-0.046144395,0.194243737,-0.029357988,-0.566745588,0.805547176,"HER2"
-0.172668274,-0.233419323,0.059574975,0.476788042,-0.404053226,"HER3"
-0.211758849,0.230296398,0.080343868,0.11959151,-0.212232352,"AKT"
0.042222259,0.056634879,-0.015960858,0.301260577,-0.318247189,"ERK"
-0.473873354,0.692510401,-0.502190379,-0.066972218,0.143565336,"ER"
0.032026842,-0.208858455,-0.293057102,0.871095935,-0.133060334,"PgR"
0.008211591,0.104820039,-0.112036873,0.053666267,0.22999319,"BetaCatenin"
-0.453864996,0.324687136,0.171614941,-0.290662817,0.124168762,"PTEN"
0.070573068,0.155204185,-0.623774708,0.107383938,0.476500258,"AIB1"
0.009432916,0.004176807,-0.091180421,0.017928548,0.229735761,"Myc"
0.08601663,0.343517109,0.042221963,-0.102092208,-0.473611519,"CDK2"
0.024275303,0.156871779,-0.256635443,0.674838501,-0.199452181,"CyclinD1"
0.643004552,-0.174106915,0.29186652,0.133148801,0.21631189,"CyclinB1"
0.333631147,-0.155270743,-0.342902558,0.344813268,-0.087244588,"P27"
-0.258910371,0.150427218,-0.217690256,0.114417393,-0.286340873,"PAI"
-0.394644857,0.615138001,-0.079752782,-0.614902862,-0.0738654340000001,"HIF1alpha"
0.477222475,-0.411778752,0.022324639,0.248982283,0.292159115,"Claudin7"
0.033146681,-0.088114463,0.074487944,0.052244646,0.238100772,"MET"
0.001262056,0.208971504,-0.046843173,-0.097271122,0.105828866,"Ecadherin"
-1.096105117,0.914148533,0.479113204,0.118404164,0.00137036399999996,"S6"
0.015050757,-0.178085442,0.206008106,0.112310173,0.009278603,"IGFBP3"
0.31323052,-0.104122273,-0.187944472,0.159696612,0.236291255,"Vimentin"
