"HOX424 Carbo Day1","HOX424 Carbo Day2","HOX424 Carbo Day4","HOX424 Carbo Day7","HOX424 Carbo Day14","Molecule"
-0.208219777,0.089321669,0.851428573,-0.168293928,0.367409237,"ERCC1"
-0.353274542,0.114145234,0.893358597,-0.313659433,0.363632932,"MLH1"
-0.345790126,0.177915311,0.679792852,-0.169376968,0.226670431,"MSH2"
-0.241503866,0.061448195,0.990023367,-0.351442405,-0.167248013,"MSH6"
-0.068534717,0.018483549,0.716071581,-0.086590136,0.13360114,"BRCA1"
-0.307291999,0.061926288,0.926291657,-0.408878027,0.333987278,"PMS2"
-0.120857995,0.35743102,0.63743153,-0.472133418,-0.173204206,"EGFR"
-0.158799988,0.118283836,0.617512662,-0.051077271,-0.016136939,"HER2"
-0.539480462,0.364679847,0.015403768,-0.900489844,-0.172141195,"HER3"
-0.108640736,0.073017804,0.545575462,-0.410416903,0.204948598,"AKT"
-0.507193183,0.028644754,0.064129827,-0.11528154,0.471357489,"ERK"
-0.144516471,0.164765165,-0.036712081,-0.599701984,-0.646840418,"ER"
-0.120102381,0.100441292,0.51034813,-0.269527784,0.068475324,"PgR"
0.23825558,0.310431487,0.527303123,-0.33923722,-0.019863085,"BetaCatenin"
0.135497888,0.037131068,0.195276343,-0.293788165,0.431642984,"PTEN"
-0.558292653,0.363005949,1.003106539,-0.246753135,0.672977361,"AIB1"
-0.029817862,0.014853257,0.523780339,-0.250510296,0.003694295,"Myc"
-0.322038251,0.408240965,0.971430534,-0.791553177,0.610259977,"CDK2"
0.171244064,-0.431896158,0.443946458,-0.32918335,0.717667801,"CyclinD1"
-0.412582795,0.806334381,0.885760651,-0.461787075,-0.099645808,"CyclinB1"
-0.357584084,0.105508085,0.984522283,-0.419193019,0.24056257,"P27"
-0.480238859,-0.46975681,0.522767333,-0.787253721,-0.325102971,"PAI"
-0.683319138,0.248460593,1.073902454,-0.405444928,0.29467085,"HIF1alpha"
-0.312231915,0.342115187,0.398220151,-0.446633034,0.109124899,"Claudin7"
0.005811657,0.351181667,0.924356227,-0.257814686,0.018563919,"MET"
-0.168538593,0.02200557,0.554491424,-0.373796641,0.039358897,"Ecadherin"
-0.109955657,-0.005415117,-0.034304711,-0.418978616,0.144350418,"S6"
-0.237255655,0.064760335,0.19420518,-0.15071277,0.028111213,"IGFBP3"
-0.734766386,-0.560850503,-0.764317874,-0.753907677,0.244860473,"Vimentin"
