"HOX424 CarboTax Day1","HOX424 CarboTax Day2","HOX424 CarboTax Day4","HOX424 CarboTax Day7","HOX424 CarboTax Day14","Molecule"
-0.03016411,-0.251307978,-0.081340866,-0.159614932,-0.047274166,"ERCC1"
0.005882626,-0.313579947,-0.184311495,-0.340232953,-0.29982531,"MLH1"
-0.073584233,-0.247819477,-0.312338195,-0.04731169,-0.422793187,"MSH2"
-0.212866192,-0.138581773,-0.16596823,-0.25373811,-0.145569738,"MSH6"
0.00535271,-0.087402199,0.057382842,0.133048064,-0.11030642,"BRCA1"
-0.256836216,-0.357290147,-0.195639715,0.003804744,0.048039977,"PMS2"
0.029628077,0.00058652,-0.355247323,-0.005640053,-0.560991968,"EGFR"
-0.156910445,-0.043361935,0.085067452,0.104487669,-0.19742061,"HER2"
-0.412420074,0.172137847,-0.250964953,NA,-0.169724997,"HER3"
0.1802323,-0.650867637,-0.486089075,-0.344471692,-0.222544194,"AKT"
0.264924163,0.297456335,-0.271023033,0.333507473,0.226265003,"ERK"
-0.359410794,0.353793827,-0.461423671,-0.063461043,-0.779101776,"ER"
-0.024456679,0.098672532,0.195309917,0.156317878,-0.11921277,"PgR"
0.096337869,-0.171818205,0.027488732,0.457348588,-0.046554588,"BetaCatenin"
0.413152757,-0.801558866,-0.146751625,-0.493496576,-0.021482769,"PTEN"
-0.160524866,-0.199873018,0.006690106,-0.003276081,0.569478891,"AIB1"
0.016283094,-0.204737065,0.039187529,0.084220649,-0.130576395,"Myc"
0.404540411,0.00017305,-0.174359929,-0.670251821,-0.117278534,"CDK2"
0.091957975,-0.676066279,-0.06056907,0.056737441,-0.048544866,"CyclinD1"
-0.101728057,-0.509346041,-0.413707306,-0.065438459,-0.510952182,"CyclinB1"
-0.211470577,-0.007439975,-0.036861598,-0.0176839,-0.155855815,"P27"
0.14802085,0.201034924,0.047603461,-0.145128939,0.316140522,"PAI"
-0.030989916,0.269990419,-0.070937198,0.040473493,-0.46488729,"HIF1alpha"
-0.209373239,0.011181615,-0.260629575,0.228443868,-0.113964378,"Claudin7"
-0.005574544,0.066266395,-0.1352535,0.27200954,-0.190723601,"MET"
0.008894949,-0.300431215,-0.052258844,0.117685763,-0.035337933,"Ecadherin"
0.29770659,-0.235490501,-0.20637035,0.017230577,0.152096685,"S6"
-0.182302798,-0.011172271,-0.077545252,-0.00221563,0.084494848,"IGFBP3"
-0.249108449,0.129994839,0.542998697,0.064589057,0.28533702,"Vimentin"
