"OV1002 Carbo Day1","OV1002 Carbo Day2","OV1002 Carbo Day4","OV1002 Carbo Day7","OV1002 Carbo Day14","Molecule"
-0.323700276,0.225315312,0.07374992,0.007943234,0.249451631,"ERCC1"
0.013737816,0.426455521,0.072064657,-0.129468011,0.240376106,"MLH1"
0.152014469,0.309138434,0.136169671,0.152222112,0.267304581,"MSH2"
-0.169546396,0.299296656,0.109118554,0.115725763,0.261588596,"MSH6"
-0.258819677,0.158648715,0.008391943,-0.053786034,0.266061537,"BRCA1"
-0.424710086,0.179307651,-0.106835559,-0.113420561,0.265245904,"PMS2"
-1.047002713,-0.045175613,0.856617857,0.800315055,1.114605533,"EGFR"
-0.046144395,0.148099342,0.118741354,-0.448004234,0.357542942,"HER2"
-0.172668274,-0.406087597,-0.346512622,0.13027542,-0.273777806,"HER3"
-0.211758849,0.018537549,0.098881417,0.218472927,0.006240575,"AKT"
0.042222259,0.098857138,0.08289628,0.384156857,0.065909668,"ERK"
-0.473873354,0.218637047,-0.283553332,-0.35052555,-0.206960214,"ER"
0.032026842,-0.176831613,-0.469888715,0.40120722,0.268146886,"PgR"
0.008211591,0.11303163,0.000994757,0.054661024,0.284654214,"BetaCatenin"
-0.453864996,-0.12917786,0.042437081,-0.248225736,-0.124056974,"PTEN"
0.070573068,0.225777253,-0.397997455,-0.290613517,0.185886741,"AIB1"
0.009432916,0.013609723,-0.077570698,-0.05964215,0.170093611,"Myc"
0.08601663,0.429533739,0.471755702,0.369663494,-0.103948025,"CDK2"
0.024275303,0.181147082,-0.075488361,0.59935014,0.399897959,"CyclinD1"
0.643004552,0.468897637,0.760764157,0.893912958,1.110224848,"CyclinB1"
0.333631147,0.178360404,-0.164542154,0.180271114,0.093026526,"P27"
-0.258910371,-0.108483153,-0.326173409,-0.211756016,-0.498096889,"PAI"
-0.394644857,0.220493144,0.140740362,-0.4741625,-0.548027934,"HIF1alpha"
0.477222475,0.065443723,0.087768362,0.336750645,0.62890976,"Claudin7"
0.033146681,-0.054967782,0.019520162,0.071764808,0.30986558,"MET"
0.001262056,0.21023356,0.163390387,0.066119265,0.171948131,"Ecadherin"
-1.096105117,-0.181956584,0.29715662,0.415560784,0.416931148,"S6"
0.015050757,-0.163034685,0.042973421,0.155283594,0.164562197,"IGFBP3"
0.31323052,0.209108247,0.021163775,0.180860387,0.417151642,"Vimentin"
