"OV1002 CarboTax Day1","OV1002 CarboTax Day2","OV1002 CarboTax Day4","OV1002 CarboTax Day7","OV1002 CarboTax Day14","Molecule"
0.420529799,0.002725394,0.084085447,0.058890604,0.325191948,"ERCC1"
0.065479677,0.299824023,0.202865077,0.129350535,0.49317829,"MLH1"
0.403506491,0.343590428,0.274459538,0.167930873,0.499160673,"MSH2"
0.048962525,0.04554827,0.260137574,0.096066599,0.460812544,"MSH6"
0.365353975,-0.124057917,-0.035169868,0.047422903,0.269853379,"BRCA1"
0.257396302,-0.162287874,-0.020542906,0.008824075,0.142600009,"PMS2"
0.003822373,-0.726087559,1.084107473,1.077725004,0.727695495,"EGFR"
0.736014898,-0.084633298,0.411541082,0.319645225,0.6789222,"HER2"
0.185635089,-0.918739925,0.357466792,-0.277035455,0.039487718,"HER3"
0.010616737,-0.262309057,0.00487176,0.316020666,0.184381595,"AKT"
0.069667932,-0.062812987,0.457718319,0.084146084,0.793259522,"ERK"
-0.313479933,-0.192064688,-0.700462393,0.085871392,0.547926527,"ER"
-0.001216053,-0.188250597,-0.052202958,-0.03281078,0.440436895,"PgR"
0.125520331,-0.014620923,0.107163558,0.185185026,0.425447584,"BetaCatenin"
-0.142850648,-0.486904025,0.27702186,0.117801545,-0.149175903,"PTEN"
0.27025644,0.24398051,0.055343279,-0.453008167,0.346992077,"AIB1"
0.341454052,-0.015098199,0.173528888,0.009395577,0.210423322,"Myc"
0.292101893,0.425699367,0.650839582,0.365927615,0.474929971,"CDK2"
0.197137685,0.544861673,0.764221867,0.373770223,0.308118092,"CyclinD1"
0.753392281,0.613516093,1.320809378,1.183523067,1.28414194,"CyclinB1"
0.113998269,0.248343548,0.233833436,-0.356924135,0.519749348,"P27"
0.306895686,-1.36727963,1.033160962,-0.159815553,-0.843190398,"PAI"
0.635135545,-0.512637984,-0.042545942,-0.085322204,-0.251005333,"HIF1alpha"
0.665576582,0.240570988,0.303675983,0.658839157,1.247381626,"Claudin7"
0.204796822,0.035034493,0.095248303,0.226262716,0.550328791,"MET"
0.292190076,-0.092377721,0.260361067,0.208825801,0.160297575,"Ecadherin"
0.023388021,-0.16875107,0.368227209,0.439478428,-0.158089058,"S6"
-0.028246499,-0.000657556,0.231473758,0.111469103,0.042230921,"IGFBP3"
-0.126723274,0.024107718,-0.317458154,0.049549271,0.305717769,"Vimentin"
