"HOX424 Carbo Day1","HOX424 Carbo Day2","HOX424 Carbo Day4","HOX424 Carbo Day7","HOX424 Carbo Day14","Molecule"
5.855554229,5.408245567,6.067348912,5.948530728,5.76730121,"AKT1"
8.986180551,8.944077212,8.987091483,9.112032196,9.165496536,"AKT1"
9.399550169,8.991810739,9.184362979,9.264630275,9.17245871,"AKT1"
6.083608253,6.09464857,5.864896912,6.126320349,5.997947763,"BRCA1"
7.133877565,7.52064768,7.110675386,6.790057873,7.294710468,"BRCA1"
6.181548423,6.289029955,6.118117048,5.832209343,6.135789617,"BRCA1"
6.752592968,6.924391963,6.650566161,6.465432209,6.673894796,"BRCA1"
7.999178392,8.312344054,7.864927452,7.878386744,8.412672782,"CCNB1"
11.12048753,10.80220902,11.20955257,11.16562677,10.95135183,"CCND1"
10.56432673,10.53921516,10.73444487,10.79217486,10.67462261,"CDH1"
6.352975951,6.329976395,6.071229229,6.327118223,6.58592604,"CDK2"
8.699181641,8.601863459,8.287473881,8.512734533,8.860352534,"CDK2"
7.906564589,7.90724764,7.617378733,7.713031618,7.790308126,"CDKN1B"
8.522630736,8.666477975,8.311168384,8.596630208,8.671431342,"CDKN1B"
10.39482744,10.32540055,10.44833667,10.65483091,10.64853243,"CLDN7"
6.053843479,6.278994921,6.756170862,6.204029973,6.59186371,"CTNNB1"
5.32774861,5.527505995,5.525813512,5.459355956,5.438582004,"CTNNB1"
7.975335058,8.065923682,8.173004125,8.164735619,8.450599271,"CTNNB1"
7.750662676,8.0988902,8.074036686,8.12200052,8.177642928,"CTNNB1"
5.638902182,5.804983643,5.971154925,5.712458042,5.681554662,"CTNNB1"
5.564020113,5.496241848,5.551660526,5.466023657,5.575943046,"CTNNB1"
5.415208463,5.378267505,5.333218845,5.48440802,5.561414052,"CTNNB1"
6.117333461,6.028486631,5.966722703,5.920822987,6.143676262,"EGFR"
5.436089847,5.354670836,5.509410616,5.300595891,5.377936991,"EGFR"
5.417889315,5.509028268,5.596287023,5.369085376,5.32009527,"EGFR"
6.994921028,6.878879295,6.887345892,6.943257688,6.953902957,"EGFR"
5.66150915,5.745744021,5.957060972,5.46796886,5.818304892,"ERBB2"
6.096592358,6.576037079,6.306257517,6.330268489,6.543571359,"ERBB2"
13.765244,13.72382655,13.48684165,13.85728066,13.89919726,"ERBB2"
6.63831074,6.490687518,6.532238672,6.647647137,6.413858873,"ERBB3"
9.677954007,9.68746444,9.745147046,9.931067356,9.576599802,"ERBB3"
5.753181922,5.722005,5.731490969,5.783751844,5.561782406,"ERBB3"
5.696855471,5.779891409,5.521661821,5.503664816,5.690560341,"ERCC1"
5.87596758,5.836396287,5.492927779,5.773319151,5.453956805,"ERCC1"
6.923221913,6.693295794,6.648325701,6.857138951,6.838954344,"ERCC1"
6.766142602,6.719052548,6.843379921,6.831041675,6.880329083,"ERCC1"
5.580589018,5.453079228,5.710908002,5.511527612,5.616337396,"ESR1"
6.689271164,6.921111439,6.623007398,6.522192897,7.132801081,"HIF1A"
7.227746382,7.257956749,7.042247662,7.145972395,7.52449001,"HIF1A"
8.607100995,8.388609261,8.357969256,8.301436375,8.65249017,"HIF1A"
8.17969218,7.707637065,7.915481418,9.139469447,9.904720266,"IGFBP3"
7.413370551,7.349214215,7.66184801,8.378180141,9.248630532,"IGFBP3"
5.798448606,6.177614557,6.225189894,6.307258559,5.973818493,"MAPK1"
6.653864887,6.442353926,6.344282268,6.52963436,6.12307391,"MAPK1"
6.973304342,7.102292256,6.992747892,7.081166222,6.821416119,"MAPK1"
7.898433312,7.850349734,7.83397258,7.816509388,7.908811519,"MET"
7.575219394,7.60204146,7.522041949,7.508980058,7.755113217,"MLH1"
6.821427993,6.618734941,6.691123074,6.382795029,6.89929301,"MSH2"
6.333670496,5.890070728,6.039360179,5.756230666,6.258350177,"MSH2"
9.089598137,8.801778455,8.908433963,8.767006716,9.244830942,"MSH6"
9.469318033,9.472490039,9.162841335,9.308763118,9.703964615,"MYC"
8.813524434,8.942819833,8.366830039,8.524926173,9.092616704,"MYC"
8.996932276,8.857721508,8.874716155,8.928697473,8.982295466,"NCOA3"
5.627727427,5.67678686,5.781638432,5.921584966,5.555120297,"NCOA3"
5.30078156,5.461834512,5.279955009,5.36535289,5.436218494,"PGR"
5.687604615,5.647681243,5.594954202,5.6468249,5.577327202,"PMS2"
8.896058422,8.698424968,8.798200292,8.726748008,8.860113385,"PMS2"
5.647614412,5.545144218,5.611129457,5.619007715,5.582089482,"PMS2"
7.936809266,8.146055386,7.975174395,7.898739555,8.220199544,"PTEN"
13.14573643,13.28110919,13.10388179,13.12548929,13.28822214,"RPS6"
12.72433945,12.84854557,12.72063507,12.84404585,12.8302709,"RPS6"
5.771717936,5.791354338,5.549717349,5.841199415,6.022920549,"SERPINE1"
7.437604193,7.266785648,7.444071218,7.3116717,7.44354132,"VIM"
6.088566376,6.212713791,6.366897918,6.182402525,6.152371875,"VIM"
