"HOX424 Carbo Day1 1","HOX424 Carbo Day2 1","HOX424 Carbo Day4 1","HOX424 Carbo Day7 1","HOX424 Carbo Day14 1","Molecule"
5.583874529,6.097551886,5.57459342,5.559628423,5.581368098,"AKT1"
8.722500689,9.101720357,8.973280468,9.175979539,9.005438298,"AKT1"
9.049958473,9.151412938,9.197162237,9.044353778,9.216881569,"AKT1"
6.297441243,6.146294704,5.874623885,5.912369742,6.106114181,"BRCA1"
7.107714812,7.365401823,7.336114841,7.027756857,7.442009303,"BRCA1"
5.631666797,6.022803056,5.87672641,5.967240504,5.721343225,"BRCA1"
6.607629883,6.784372231,7.257655628,6.885523157,6.982870284,"BRCA1"
8.198011917,8.369672025,8.498333792,8.433884395,8.354312081,"CCNB1"
10.93217694,10.92655339,11.43724655,11.16108557,11.07387855,"CCND1"
10.60069017,10.71466078,10.62661268,10.80455109,10.4986152,"CDH1"
6.180292961,6.772186584,6.061115202,6.713647775,6.311285111,"CDK2"
8.537195036,8.78788352,8.491460353,8.871588732,8.678069701,"CDK2"
8.009100033,7.950237729,7.604310172,7.612380854,7.901438083,"CDKN1B"
8.890351761,8.275601809,8.406497147,8.345820015,8.762849502,"CDKN1B"
9.935692688,10.61068928,10.3170244,10.53341388,10.19994783,"CLDN7"
6.529567611,6.201792998,6.511715118,6.163441523,6.86521557,"CTNNB1"
5.435561673,5.445154064,5.394766778,5.361651769,5.511213554,"CTNNB1"
8.311098537,8.465397054,8.23765467,8.580668567,8.294350262,"CTNNB1"
8.145581623,8.260518577,8.279895231,8.532375493,7.92789301,"CTNNB1"
5.885857166,6.111183244,5.803903704,5.859528934,5.928960021,"CTNNB1"
5.524892856,5.594272135,5.519790194,5.660240601,5.556253234,"CTNNB1"
5.83780416,5.689914138,5.571545935,5.77316045,5.643956079,"CTNNB1"
6.165537051,6.374790181,6.028135999,6.083677411,6.203665209,"EGFR"
5.288645093,5.571829157,5.315934111,5.393812919,5.283167622,"EGFR"
5.390501099,5.473282169,5.42289592,5.386050806,5.37771837,"EGFR"
7.000262318,6.694127948,6.901245551,6.937663839,6.912676016,"EGFR"
5.886607824,5.633320012,5.760037475,5.684559793,5.584373015,"ERBB2"
6.188966195,6.685623841,6.521687677,6.576577341,6.256514645,"ERBB2"
13.61875148,13.88119736,13.49161565,13.85018965,13.65721415,"ERBB2"
6.452582867,6.482630739,6.52108081,6.570999839,6.605995701,"ERBB3"
9.712550197,9.643548252,9.522062385,9.616176654,9.707886404,"ERBB3"
5.791864434,5.839997034,5.798586618,5.628122668,5.593215324,"ERBB3"
5.7740019,5.674980496,5.449292191,5.533022908,5.568140935,"ERCC1"
5.745797339,5.516662102,5.609649319,5.561004768,5.582847416,"ERCC1"
6.97265285,6.896540773,6.667673236,6.69185729,6.680877992,"ERCC1"
6.979837026,6.760248174,6.712225761,6.693269254,6.800291935,"ERCC1"
5.560529715,5.942892248,5.703560407,5.661974341,5.731501168,"ESR1"
6.564250228,6.901574408,6.737074824,6.860807135,6.658592617,"HIF1A"
7.131619347,7.367178823,6.746008772,7.319765246,7.17575855,"HIF1A"
8.630405856,8.34397179,8.390659998,8.500085979,8.590843699,"HIF1A"
8.358446982,7.563644974,7.49451712,8.123534847,7.644962033,"IGFBP3"
7.705603196,6.820966704,6.870328684,7.520959447,7.054831824,"IGFBP3"
5.842900614,5.767456949,6.158507206,5.937295341,5.982462786,"MAPK1"
6.533149959,6.512617691,6.512189237,6.375464047,6.360567116,"MAPK1"
6.904506491,7.022090694,6.873448208,7.092068138,6.870493741,"MAPK1"
7.816800586,7.711385096,7.863034123,7.957971929,7.807286349,"MET"
7.846078234,7.655710926,7.811580138,7.584108806,7.6722582,"MLH1"
6.943325072,6.494143282,6.780841515,6.703041372,6.921792095,"MSH2"
5.893131571,6.055179991,6.151336228,6.101563975,6.47890972,"MSH2"
8.926445004,8.882792586,9.077538871,9.022589427,9.366651676,"MSH6"
9.360525147,9.841028481,9.453486893,9.752728809,9.964757157,"MYC"
8.782804889,9.047069734,9.113604528,9.051685235,9.483441869,"MYC"
9.100139608,9.007063949,8.959851783,8.817504712,8.932596645,"NCOA3"
5.545783643,5.704206017,5.685626658,5.385770735,5.720510337,"NCOA3"
5.473350303,5.351782008,5.181575083,5.132832024,5.456376958,"PGR"
5.779051891,5.719711835,5.585618758,5.603042656,5.807475361,"PMS2"
8.994265989,9.055465033,8.720477681,8.730754618,8.874468715,"PMS2"
5.499947068,5.749584158,5.378394852,5.514793224,5.673140815,"PMS2"
8.315980386,8.021010782,8.107546793,8.038515148,7.922837161,"PTEN"
13.32409759,13.22966192,13.18986655,12.79373,13.17252155,"RPS6"
12.74158559,12.80461529,12.90082627,12.44467303,12.87113009,"RPS6"
5.554420721,5.761821141,5.739816944,5.737795389,5.756444615,"SERPINE1"
7.285517971,7.393864106,7.247876883,7.422033525,7.41592707,"VIM"
6.121712466,5.799588155,6.088928405,6.153341466,6.01681648,"VIM"
