"HOX424 CarboTax Day1","HOX424 CarboTax Day2","HOX424 CarboTax Day4","HOX424 CarboTax Day7","HOX424 CarboTax Day14","Molecule"
5.777135782,5.78637082,5.86806919,5.920495368,5.823931855,"AKT1"
8.945810346,8.856075199,9.304976575,8.877773193,9.001609887,"AKT1"
9.344259643,9.009306621,9.149996757,9.206970958,9.390651982,"AKT1"
5.918607538,6.110412784,5.987316128,5.746175712,6.193734229,"BRCA1"
7.332961029,7.504585555,7.106067556,7.436165701,6.767711167,"BRCA1"
5.899430719,6.014989694,5.685204713,6.075603772,6.061428627,"BRCA1"
7.187519188,7.00418995,6.589643033,7.192871359,6.376871827,"BRCA1"
8.048520238,8.066951715,8.057515634,8.318187236,7.839927794,"CCNB1"
11.1170376,11.03924815,11.39398367,11.48421441,10.85083806,"CCND1"
10.56590601,10.54923491,10.65585368,10.60167013,10.97138431,"CDH1"
6.52912751,6.347537028,6.480266426,6.541211357,6.542845475,"CDK2"
8.720520305,8.633699283,8.719068965,8.660241475,8.893693416,"CDK2"
7.654794099,7.667049755,7.673925116,7.607983211,8.030117389,"CDKN1B"
8.488950624,8.448840555,8.375384577,8.590776373,7.815852688,"CDKN1B"
10.36324822,10.16498251,10.41466464,10.53906787,10.70083934,"CLDN7"
6.337214447,6.415082842,6.497625876,6.280230597,5.54388086,"CTNNB1"
5.489988932,5.491299082,5.544306179,5.460945056,5.418062799,"CTNNB1"
8.120178499,8.274714817,8.660326934,8.214716198,8.483621257,"CTNNB1"
7.982537958,8.155479529,8.406278181,7.972547791,8.260601384,"CTNNB1"
6.100830304,6.064417661,5.911369849,5.834320895,5.748865787,"CTNNB1"
5.521444029,5.516932034,5.655611527,5.675399406,5.509030271,"CTNNB1"
5.463350114,5.387531827,5.869741934,5.456694275,5.496301504,"CTNNB1"
6.035113002,6.030343763,5.67442624,5.944408583,5.701401641,"EGFR"
5.446358412,5.305346676,5.374842925,5.49165387,5.501526725,"EGFR"
5.401266831,5.509400175,5.336269884,5.618644449,5.264970757,"EGFR"
6.873866661,7.011015908,6.917489971,7.008819896,7.11560356,"EGFR"
5.793516062,5.872055283,5.635313612,5.75068012,5.829790083,"ERBB2"
6.982684215,6.32330705,6.70997646,6.683153605,6.55564809,"ERBB2"
13.52472844,13.83643425,13.78384065,13.68227681,13.84950706,"ERBB2"
6.671539689,6.406054832,6.634498397,6.516501631,6.818822876,"ERBB3"
9.422793998,9.302367922,9.407333243,9.285399239,9.95841289,"ERBB3"
5.769121046,5.559907448,5.989661294,5.612381834,5.999677845,"ERBB3"
5.530165917,5.673950904,5.597290614,5.565428647,5.595609474,"ERCC1"
5.899215589,5.698580753,5.768307873,5.705054966,5.498157879,"ERCC1"
6.872533203,6.731707467,6.733109159,6.82947749,6.955794969,"ERCC1"
6.80977265,6.602840594,6.789837406,6.994765821,6.831462435,"ERCC1"
5.553677589,5.572690854,5.852312257,5.545706411,5.444944152,"ESR1"
6.707466004,6.803063986,6.763976954,6.839454966,6.621864467,"HIF1A"
7.189386767,7.430866846,7.345685168,7.188310317,7.031422843,"HIF1A"
8.294189213,8.630653279,8.403757974,8.23201364,7.642065921,"HIF1A"
7.947131505,8.12463772,7.490135469,8.286960834,9.003034147,"IGFBP3"
7.220448401,7.540460727,7.277799285,7.853650948,8.261203443,"IGFBP3"
6.242116266,6.291005513,6.228548098,6.147141405,5.964209222,"MAPK1"
6.532225646,6.219218312,6.662599283,6.564875861,6.70242717,"MAPK1"
6.876667675,6.941235171,7.175121988,7.002549882,7.01254992,"MAPK1"
7.931165811,8.082538124,7.811218965,7.836644665,7.582603137,"MET"
7.478159103,7.688504039,7.673609545,7.692009384,7.79378103,"MLH1"
6.741955613,6.706567768,6.677169404,6.827942583,6.425963168,"MSH2"
6.40063115,6.029762476,5.801630772,6.308639608,5.832162675,"MSH2"
9.032012488,9.149637064,8.82481182,9.271296055,8.860180509,"MSH6"
9.529286366,9.585077489,9.364541216,9.778883393,10.01375809,"MYC"
9.066296398,9.169721392,8.855034003,9.236516988,8.430747342,"MYC"
8.570763789,8.767980656,8.709891254,8.806284323,8.826486156,"NCOA3"
5.687602656,5.816812762,5.988629116,5.707720661,5.701874341,"NCOA3"
5.456116359,5.352736196,5.363288173,5.444747045,5.39794896,"PGR"
5.742439752,5.79763092,5.452030067,5.6410521,5.527265394,"PMS2"
8.976367556,8.606471574,8.759266382,8.792576785,8.740386364,"PMS2"
5.845474131,5.560692443,5.612400264,5.647946353,5.546483031,"PMS2"
7.951702329,8.062554774,8.019402456,8.222408526,7.996582173,"PTEN"
13.15516781,13.2398654,13.09262755,13.2180172,13.13086974,"RPS6"
12.58185376,12.79115089,12.61714801,12.68142427,12.68113348,"RPS6"
5.722868151,5.922389431,6.006467916,5.63360023,5.735256528,"SERPINE1"
7.277889471,7.041662776,7.539845269,7.29210071,7.079594613,"VIM"
6.212051937,5.72082975,6.352310746,6.192963114,6.208058101,"VIM"
