"HOX424 CarboTax Day1 2","HOX424 CarboTax Day4 2","HOX424 CarboTax Day7 2","HOX424 CarboTax Day14 2","Molecule"
5.804067643,5.695628189,5.950798442,6.056435848,"AKT1"
8.857674133,9.037363198,8.984779265,9.419836421,"AKT1"
9.055905987,9.070552107,9.074210857,9.221698354,"AKT1"
5.975830457,6.320646422,6.001314416,5.868826892,"BRCA1"
7.427141119,7.237374783,7.306247261,7.407356447,"BRCA1"
6.064188646,5.818514488,6.209255834,6.081238764,"BRCA1"
7.047027354,6.548727153,7.029096953,6.861460979,"BRCA1"
7.834399586,8.206399609,8.338920028,7.806625149,"CCNB1"
11.25602236,11.0223231,11.5255296,10.86174883,"CCND1"
10.67982831,10.87041344,10.68419223,10.93417292,"CDH1"
6.656946907,6.562856078,6.516351907,6.612249709,"CDK2"
8.767855223,8.714678511,8.761956585,8.947928533,"CDK2"
7.789554797,7.703200444,7.591571704,8.071916919,"CDKN1B"
8.543622662,8.384299336,8.532686841,7.889076824,"CDKN1B"
10.72074056,10.41716738,10.76806644,10.84535192,"CLDN7"
6.306235414,6.354464975,6.444230224,5.491054754,"CTNNB1"
5.369276449,5.476515482,5.365035166,5.437557461,"CTNNB1"
8.452868716,8.393907396,8.147694145,8.315547381,"CTNNB1"
8.084545345,8.443013053,7.984110091,8.124613153,"CTNNB1"
5.749891009,6.035551937,5.635606129,5.958234325,"CTNNB1"
5.497609469,5.674570326,5.569118287,5.4248312,"CTNNB1"
5.623076082,5.554241148,5.550264397,5.607556549,"CTNNB1"
6.230717051,5.981243701,6.225031251,6.235104259,"EGFR"
5.303543579,5.317097006,5.556243479,5.305516664,"EGFR"
5.538248411,5.215875727,5.378619382,5.431989637,"EGFR"
6.931959236,6.933679714,6.931597938,7.084032766,"EGFR"
5.987052198,5.680783736,5.839746833,5.833708835,"ERBB2"
6.730274033,6.494658588,6.546622624,6.762371883,"ERBB2"
13.70344807,13.71860072,13.60083533,13.81907392,"ERBB2"
6.773496505,6.459195673,6.711724078,6.738716363,"ERBB3"
9.545000986,9.809246822,9.238047961,9.72001695,"ERBB3"
5.948460768,5.840641066,5.713566184,5.905279765,"ERBB3"
5.533322754,5.772688077,5.627162874,5.575010476,"ERCC1"
5.610691197,5.310795705,5.713543194,5.586052485,"ERCC1"
6.920569096,6.979962343,6.928150287,6.928338411,"ERCC1"
6.688643002,6.625941927,6.860252988,6.693724586,"ERCC1"
5.603289683,5.701492867,5.417731353,5.620404666,"ESR1"
6.483221019,7.029574261,6.499076146,6.645249856,"HIF1A"
7.046245644,7.539799719,7.131531307,6.993002282,"HIF1A"
8.223700821,8.326069249,8.152643347,7.549919466,"HIF1A"
7.858071875,7.83331374,8.140083132,8.163633159,"IGFBP3"
7.329078714,7.467639695,7.803677629,7.827702397,"IGFBP3"
6.047624376,6.110633917,6.3008389,6.060411514,"MAPK1"
6.560428279,6.643784166,6.617836787,6.507366425,"MAPK1"
6.9720395,7.037126603,6.992561648,7.05912767,"MAPK1"
7.756954405,7.807695904,7.822817045,7.603321576,"MET"
7.520121851,7.582159764,7.566641804,7.602115134,"MLH1"
6.761948405,6.546317428,6.731415311,6.198115612,"MSH2"
6.275858919,5.838810699,6.130853424,5.515097064,"MSH2"
8.938399171,8.987650654,9.165453343,8.984626467,"MSH6"
9.718182172,9.411351766,9.824664716,9.851848256,"MYC"
8.851624899,9.12201277,9.298427885,8.631986958,"MYC"
8.691073281,8.768977798,8.613780942,8.800438075,"NCOA3"
5.599770481,5.933271388,5.803714731,5.640706067,"NCOA3"
5.347345698,5.415330919,5.400949033,5.38090564,"PGR"
5.495469751,5.604600693,5.586077948,5.722914458,"PMS2"
8.863787079,8.952270188,8.841789364,8.85642533,"PMS2"
5.577118922,5.612833975,5.658935019,5.747281751,"PMS2"
7.923198911,8.299810102,7.977641729,7.98981049,"PTEN"
13.191409,13.20928632,13.04446742,12.91432421,"RPS6"
12.78373758,12.83769004,12.6542474,12.56097424,"RPS6"
5.899574259,5.588121795,5.93900147,5.709642034,"SERPINE1"
7.399906597,7.540545296,7.266325664,7.398159276,"VIM"
6.106992576,6.003799849,6.313942545,5.941256089,"VIM"
