"HOX424 Control Day1","HOX424 Control Day7","HOX424 Control Day14","Molecule"
6.02142293,6.188046442,6.029574923,"AKT1"
9.176579011,8.936438406,9.428258371,"AKT1"
9.388738552,9.094179571,9.148238382,"AKT1"
5.986360477,6.057945237,6.40617085,"BRCA1"
7.360732678,7.234594656,7.12891556,"BRCA1"
5.849577458,6.127881651,6.396070591,"BRCA1"
6.713749474,6.710388166,6.086513334,"BRCA1"
8.138429197,8.001532133,7.892549074,"CCNB1"
10.58236408,10.76752426,11.14025093,"CCND1"
10.65180291,10.60086898,10.82352434,"CDH1"
6.609265893,6.706810181,6.382539888,"CDK2"
9.083728493,8.601849987,8.81841349,"CDK2"
7.711250567,7.389270951,7.862965154,"CDKN1B"
8.207129978,8.329159684,8.095338383,"CDKN1B"
10.68174602,10.48870325,10.54642774,"CLDN7"
6.078509347,6.603542465,5.795965022,"CTNNB1"
5.462251517,5.363016732,5.447403982,"CTNNB1"
8.438464541,8.540712887,8.264333387,"CTNNB1"
8.27118603,8.527030791,7.909787304,"CTNNB1"
5.714295434,6.0997952,5.970472665,"CTNNB1"
5.618181526,5.520467585,5.606391527,"CTNNB1"
5.448396847,5.6130492,5.905054158,"CTNNB1"
6.220749283,6.113035422,5.796835176,"EGFR"
5.370542667,5.351695339,5.363885271,"EGFR"
5.335026407,5.34858388,5.483091949,"EGFR"
7.06073844,6.746883821,6.536370039,"EGFR"
5.680077889,5.709234109,5.514908486,"ERBB2"
6.615674533,6.726976393,6.192945057,"ERBB2"
13.74727852,13.80910551,13.83665681,"ERBB2"
6.86992169,6.635386872,6.764340181,"ERBB3"
9.587846626,9.653979714,9.695330038,"ERBB3"
5.679735684,5.813204015,5.632837441,"ERBB3"
5.569756529,5.603732892,5.58338278,"ERCC1"
5.534187271,5.719281095,5.512746725,"ERCC1"
6.750750528,6.713021637,6.726836765,"ERCC1"
6.962051577,6.610780543,6.392273731,"ERCC1"
5.548707142,5.531705851,5.507972643,"ESR1"
7.075499959,6.991471337,6.913557096,"HIF1A"
7.477534089,7.074349555,7.08194849,"HIF1A"
8.508467878,8.168412735,7.955580798,"HIF1A"
7.810596112,8.793242692,7.283154642,"IGFBP3"
7.287263953,8.273783461,7.227700716,"IGFBP3"
5.884392127,6.295183549,5.782101462,"MAPK1"
6.424273166,6.569532459,6.274804066,"MAPK1"
7.043043918,7.078604772,7.047085788,"MAPK1"
7.761144213,7.828147001,7.420411965,"MET"
7.565205145,7.771287408,7.768868845,"MLH1"
6.740770256,6.58051318,6.54467364,"MSH2"
6.203759341,6.315955936,5.600323863,"MSH2"
8.854841399,9.155668347,8.710977813,"MSH6"
9.849178905,9.61050298,9.920298781,"MYC"
8.720087765,9.213073786,8.637845838,"MYC"
8.816105523,8.771977223,8.689328202,"NCOA3"
6.05918795,5.542676708,5.689284024,"NCOA3"
5.093458595,5.468743163,5.254660974,"PGR"
5.553992993,5.776063618,5.740709131,"PMS2"
8.883200966,9.036503519,8.943734356,"PMS2"
5.457142294,5.60406957,5.727287925,"PMS2"
7.956988161,8.050287242,7.829934457,"PTEN"
12.91952529,13.13956225,13.09479455,"RPS6"
12.75305246,12.73246155,12.78991468,"RPS6"
5.973848467,5.862977445,5.974149105,"SERPINE1"
7.562339055,7.441554352,7.297197203,"VIM"
6.345908095,6.137446295,5.916817067,"VIM"
