"HOX424 Control Day1 1","HOX424 Control Day7 1","HOX424 Control Day14 1","Molecule"
5.758126314,5.779314046,6.09160582,"AKT1"
9.163566739,9.198571108,9.000098963,"AKT1"
9.686554803,9.203202975,9.24811277,"AKT1"
5.985342611,6.037265925,6.027023697,"BRCA1"
7.07718297,7.269448788,7.107493062,"BRCA1"
6.223308738,6.095820392,5.99309309,"BRCA1"
6.421702782,6.265903537,6.981488324,"BRCA1"
8.12425264,8.11098298,7.989123778,"CCNB1"
10.96724122,11.24985874,11.48434808,"CCND1"
10.55649824,10.74263433,10.9924068,"CDH1"
6.494319706,6.599551134,6.438594874,"CDK2"
8.688809881,8.791230288,8.836322501,"CDK2"
7.643520501,7.941042739,7.811743902,"CDKN1B"
8.337148172,8.826303396,8.41250337,"CDKN1B"
10.46928535,10.47519614,10.92264886,"CLDN7"
6.184098902,7.069650182,6.274775399,"CTNNB1"
5.415657166,5.345228934,5.151353155,"CTNNB1"
8.289598305,8.392734665,8.371702553,"CTNNB1"
8.040173051,8.315270306,8.213418775,"CTNNB1"
5.623291177,6.437317848,5.846075239,"CTNNB1"
5.396670628,5.574399136,5.512546141,"CTNNB1"
5.669572546,5.997951901,5.471020867,"CTNNB1"
6.303709371,6.337451403,6.016983352,"EGFR"
5.367587921,5.35206119,5.458850118,"EGFR"
5.308144488,5.424028224,5.341280229,"EGFR"
6.781312274,6.356171752,7.068764266,"EGFR"
5.661873894,5.983705772,5.651528524,"ERBB2"
6.254104811,6.538631769,6.711789634,"ERBB2"
13.83371248,13.80951443,13.86252592,"ERBB2"
6.877550597,6.776277033,6.892189137,"ERBB3"
9.733198734,10.02335821,9.660937059,"ERBB3"
5.621279721,5.828991239,5.730741798,"ERBB3"
5.537515576,5.655916431,5.703679522,"ERCC1"
5.71896374,5.785669598,5.639795716,"ERCC1"
6.69520533,6.874245144,6.749836959,"ERCC1"
6.606993919,6.436020663,6.697357731,"ERCC1"
5.448236599,5.612075265,5.891188463,"ESR1"
6.716430126,6.673914666,6.589888677,"HIF1A"
7.293723052,7.02206414,7.239728728,"HIF1A"
8.422526912,8.463660429,8.343735796,"HIF1A"
8.775003953,8.063065209,9.785157102,"IGFBP3"
8.137411995,7.652795461,9.150569312,"IGFBP3"
5.932732195,5.872652645,6.393582955,"MAPK1"
6.503497497,6.092541539,6.575736168,"MAPK1"
6.849317452,6.924473476,6.764325138,"MAPK1"
7.812384893,7.629514427,7.955760742,"MET"
7.49714226,7.566798459,7.614675784,"MLH1"
6.778948965,6.314512804,6.647190584,"MSH2"
6.272268495,6.261657966,6.24127566,"MSH2"
8.9858524,9.182224907,8.918582554,"MSH6"
9.713008292,9.200490666,9.272562356,"MYC"
8.902843211,8.539555013,8.728679744,"MYC"
8.702822648,8.887323003,8.999811584,"NCOA3"
5.774416571,5.808256038,5.72648231,"NCOA3"
5.210808218,5.387569369,5.349813913,"PGR"
5.548881544,5.461299268,5.604041324,"PMS2"
8.967544377,8.903424565,8.940487595,"PMS2"
5.531638133,5.37809698,5.576414834,"PMS2"
8.006311053,8.201476487,8.043600914,"PTEN"
12.9975525,12.66499065,13.07880527,"RPS6"
12.63809235,12.23099989,12.88400247,"RPS6"
5.863370191,5.520022975,5.858187019,"SERPINE1"
7.459622551,7.698689622,7.53912348,"VIM"
6.460272192,5.948474335,6.598103174,"VIM"
