"HOX424 Control Day1 1","HOX424 Control Day7 1","HOX424 Control Day14 1","Molecule"
2.52902573497507,2.49452082511373,2.58226665219755,"AKT1"
3.25676710081491,3.25676710081491,3.22987894607329,"AKT1"
3.2775744505555,3.3001425897137,3.25676710081491,"AKT1"
2.56910613080458,2.56910613080458,2.56910613080458,"BRCA1"
2.8640253939867,2.88507839139755,2.8640253939867,"BRCA1"
2.5971621144071,2.5971621144071,2.54748595509981,"BRCA1"
2.6589363565952,2.6259864589759,2.83248604352084,"BRCA1"
3.01943908347727,3.01943908347727,2.97095280643687,"CCNB1"
3.44141934666696,3.44141934666696,3.44141934666696,"CCND1"
3.40864216577564,3.40864216577564,3.40864216577564,"CDH1"
2.68810027120049,2.73103343296509,2.64078170162887,"CDK2"
3.16340247265061,3.18579038000884,3.16340247265061,"CDK2"
2.9359578240166,2.97095280643687,2.9359578240166,"CDKN1B"
3.0852299748186,3.20197879365459,3.0852299748186,"CDKN1B"
3.38620937052632,3.38620937052632,3.38620937052632,"CLDN7"
2.58226665219755,2.8640253939867,2.61180355307462,"CTNNB1"
2.44694578859473,2.39553985197135,2.39553985197135,"CTNNB1"
3.06419258149948,3.0852299748186,3.06419258149948,"CTNNB1"
2.99355483914712,3.06419258149948,3.01943908347727,"CTNNB1"
2.49452082511373,2.70312326734325,2.51881264922974,"CTNNB1"
2.43849814013374,2.47271035548191,2.45621137564512,"CTNNB1"
2.51056919633973,2.55889291291797,2.44694578859473,"CTNNB1"
2.64078170162887,2.6589363565952,2.55889291291797,"EGFR"
2.42727975596447,2.41409397254346,2.43849814013374,"EGFR"
2.41409397254346,2.44694578859473,2.41409397254346,"EGFR"
2.81375827879612,2.67431031887822,2.84768910891706,"EGFR"
2.50293837462382,2.54748595509981,2.48744393523453,"ERBB2"
2.61180355307462,2.71624233690494,2.73103343296509,"ERBB2"
3.73170874351933,3.73170874351933,3.73170874351933,"ERBB2"
2.84768910891706,2.79211933830568,2.81375827879612,"ERBB3"
3.32847050777526,3.32847050777526,3.3001425897137,"ERBB3"
2.48744393523453,2.51881264922974,2.51056919633973,"ERBB3"
2.47271035548191,2.48744393523453,2.49452082511373,"ERCC1"
2.51881264922974,2.50293837462382,2.4801691705482,"ERCC1"
2.73103343296509,2.81375827879612,2.74862251937681,"ERCC1"
2.71624233690494,2.68810027120049,2.71624233690494,"ERCC1"
2.45621137564512,2.4801691705482,2.5383583522294,"ESR1"
2.74862251937681,2.74862251937681,2.67431031887822,"HIF1A"
2.88507839139755,2.84768910891706,2.88507839139755,"HIF1A"
3.13430684894822,3.13430684894822,3.03783660385353,"HIF1A"
3.20197879365459,2.99355483914712,3.32847050777526,"IGFBP3"
3.03783660385353,2.9359578240166,3.24417327042755,"IGFBP3"
2.55889291291797,2.52902573497507,2.6259864589759,"MAPK1"
2.70312326734325,2.58226665219755,2.6589363565952,"MAPK1"
2.83248604352084,2.83248604352084,2.79211933830568,"MAPK1"
2.95194691433768,2.92019935660167,2.95194691433768,"MET"
2.92019935660167,2.90072338505105,2.92019935660167,"MLH1"
2.79211933830568,2.64078170162887,2.70312326734325,"MSH2"
2.6259864589759,2.61180355307462,2.5971621144071,"MSH2"
3.24417327042755,3.24417327042755,3.18579038000884,"MSH6"
3.3001425897137,3.2775744505555,3.2775744505555,"MYC"
3.21823074739713,3.16340247265061,3.13430684894822,"MYC"
3.18579038000884,3.21823074739713,3.21823074739713,"NCOA3"
2.5383583522294,2.51056919633973,2.50293837462382,"NCOA3"
2.39553985197135,2.43849814013374,2.42727975596447,"PGR"
2.4801691705482,2.45621137564512,2.47271035548191,"PMS2"
3.22987894607329,3.22987894607329,3.20197879365459,"PMS2"
2.46444997412691,2.42727975596447,2.46444997412691,"PMS2"
2.97095280643687,3.03783660385353,2.99355483914712,"PTEN"
3.65992229412316,3.65992229412316,3.65992229412316,"RPS6"
3.55253772584203,3.55253772584203,3.55253772584203,"RPS6"
2.54748595509981,2.46444997412691,2.52902573497507,"SERPINE1"
2.90072338505105,2.95194691433768,2.90072338505105,"VIM"
2.67431031887822,2.5383583522294,2.68810027120049,"VIM"
