"OV1002 Carbo Day1","OV1002 Carbo Day2","OV1002 Carbo Day4","OV1002 Carbo Day7","OV1002 Carbo Day14","Molecule"
5.862122433,5.702217072,5.967843122,5.805316639,6.074032696,"AKT1"
9.981740789,10.21902358,10.09353922,10.01616159,10.0074398,"AKT1"
10.50106666,10.46435862,10.41805417,10.58677251,10.31305039,"AKT1"
6.001194765,5.794197355,5.942946999,6.034937177,6.03337119,"BRCA1"
6.475398781,6.619301363,6.894683975,6.872684891,6.639341994,"BRCA1"
5.798249684,5.703300664,5.702441041,5.842015732,5.902028125,"BRCA1"
5.966815253,6.003538493,6.376779633,6.514901132,6.350892119,"BRCA1"
8.565642675,8.389871352,9.256905146,9.248943985,8.969916658,"CCNB1"
10.5169831,10.85703699,10.34451013,10.2921956,10.7541108,"CCND1"
10.87052029,10.80113934,10.59429146,10.77351933,10.75527786,"CDH1"
7.065943813,7.79688336,7.699609755,6.971946494,7.223823083,"CDK2"
9.901071895,10.28845161,10.11256421,10.10428178,10.03379478,"CDK2"
7.71844589,7.573621812,7.818008437,7.570351604,7.585698759,"CDKN1B"
7.488180861,7.710474473,7.846847294,8.064503813,7.35432261,"CDKN1B"
10.30970757,10.06961653,10.0624686,10.04378483,9.953348914,"CLDN7"
5.491051305,5.764729752,5.440165202,5.551497699,5.397828964,"CTNNB1"
5.443664189,5.321212129,5.455699987,5.3470548,5.532769721,"CTNNB1"
7.619480694,7.757271766,7.931490755,7.600473411,7.727622003,"CTNNB1"
7.303120162,7.483549548,7.739524247,7.423709,7.471311954,"CTNNB1"
5.639779869,5.904306429,5.776256763,5.686936465,5.810394326,"CTNNB1"
5.427424633,5.450656121,5.545211367,5.529000993,5.511926181,"CTNNB1"
5.712541347,5.7262521,6.113552339,5.592645071,5.566436628,"CTNNB1"
6.191863164,6.175060553,6.416340715,6.160091944,6.041416711,"EGFR"
5.37817919,5.546975931,5.382311974,5.58747518,5.24278214,"EGFR"
5.397017349,5.365926458,5.552593705,5.527079505,5.416225547,"EGFR"
6.209899293,6.448711697,6.136864406,6.057309637,6.132912395,"EGFR"
5.534420322,5.687688592,5.397264809,5.703793231,5.61158925,"ERBB2"
5.414523027,5.284402361,5.26169919,5.509835178,5.598507546,"ERBB2"
9.845566014,9.325427223,9.668824847,9.972905027,9.775936363,"ERBB2"
6.195377468,6.174697474,6.255711606,6.209401713,6.131074535,"ERBB3"
9.389193037,9.59691578,9.635566459,9.913153499,9.299190765,"ERBB3"
5.799018007,5.64716456,5.665783548,5.635878912,5.600281417,"ERBB3"
5.652553242,5.44044239,5.762963706,5.781804576,5.765736711,"ERCC1"
6.39830722,6.404469916,6.314793746,6.113165898,6.243164081,"ERCC1"
8.278238365,8.280085109,8.033157882,8.219149075,8.075786548,"ERCC1"
8.232297361,8.163481767,8.121510325,8.331724259,8.115675665,"ERCC1"
9.630079102,9.46762662,9.380101196,9.955305214,9.691403349,"ESR1"
6.432324386,6.579413157,6.483318151,6.315590423,6.413772077,"HIF1A"
6.99564266,6.944456797,7.068649692,6.570901887,6.86601483,"HIF1A"
7.447895527,7.29829224,7.691779573,7.675474544,7.714420828,"HIF1A"
9.970191445,10.4990005,9.97029964,9.332697153,9.717763252,"IGFBP3"
9.40542832,9.872086972,9.105742837,8.468927834,8.869395837,"IGFBP3"
5.665276469,5.474434894,5.614974406,5.790078989,5.671489119,"MAPK1"
6.185825838,5.865530984,6.481409542,6.180801983,6.126265898,"MAPK1"
6.418870618,6.446713745,6.533480307,6.457951546,6.391682003,"MAPK1"
7.424895476,7.348519004,7.438032487,7.3340045,7.697970693,"MET"
7.872101616,7.609568603,7.956849582,7.812688404,7.556493929,"MLH1"
6.32945953,6.524833062,6.413479771,6.410166118,6.293630494,"MSH2"
5.645607588,5.966668285,5.959421865,5.668140788,5.732267966,"MSH2"
9.950892092,9.903859341,9.806722849,10.10575626,9.818945821,"MSH6"
9.766088449,9.821739282,9.206581426,9.45878749,10.14902714,"MYC"
8.26503261,8.037309056,7.591718332,8.195949984,8.526829226,"MYC"
8.462121169,8.346739675,8.789138703,8.569607715,8.518458175,"NCOA3"
5.660505901,5.617896021,5.832629967,5.662620796,5.898157044,"NCOA3"
5.456048638,5.369151204,5.364047931,5.477407092,5.367284286,"PGR"
5.665591368,5.382929246,5.717954352,5.658336494,5.711668118,"PMS2"
7.265728922,7.400098212,7.400199014,7.360269973,7.384602308,"PMS2"
5.78905471,5.505998255,5.526856549,5.576267478,5.306180146,"PMS2"
7.660648579,7.516473175,7.431148088,7.833017152,7.546420683,"PTEN"
12.97384068,12.76822271,12.86640668,12.99428428,12.89047467,"RPS6"
11.99242357,12.21322945,12.02217224,12.54260281,12.09651748,"RPS6"
5.863097336,5.783806133,5.620931472,5.783166448,5.808207667,"SERPINE1"
10.3539216,10.88840275,9.7613507,9.988703792,10.42579684,"VIM"
9.725780776,10.06246435,9.087969526,9.391887951,9.800968638,"VIM"
