"OV1002 CarboTax Day1","OV1002 CarboTax Day2","OV1002 CarboTax Day4","OV1002 CarboTax Day7","OV1002 CarboTax Day14","Molecule"
5.765861423,5.874303025,5.842088942,5.847558207,5.537235481,"AKT1"
9.805739896,10.24510156,10.1668073,10.14251953,10.22038424,"AKT1"
10.25140127,10.55761077,10.66185988,10.55945759,10.38198384,"AKT1"
5.755466361,5.944361315,6.194079264,6.043738337,5.802000651,"BRCA1"
6.425219324,6.697130965,7.058065846,6.681703431,6.73599542,"BRCA1"
6.054911691,5.940050551,5.919659528,5.921832194,6.002514545,"BRCA1"
6.01642945,5.957600241,6.479750957,6.282151882,5.884020502,"BRCA1"
8.083486936,8.078123888,8.384521462,9.313483119,9.07233082,"CCNB1"
9.949198898,10.47443524,10.59695217,10.43223001,10.42961925,"CCND1"
10.62670202,11.03924157,10.68512906,10.9925382,10.66725319,"CDH1"
6.666909608,7.42267858,7.30426731,7.798079453,7.353787814,"CDK2"
9.45853096,10.04360466,10.23394686,10.36027299,9.83589137,"CDK2"
7.405759545,7.552786478,7.827913762,7.724173463,7.689130347,"CDKN1B"
8.119614877,7.512622578,8.18956677,7.5092441,7.57978846,"CDKN1B"
10.22465035,9.908984773,10.12985732,10.02976366,9.924277286,"CLDN7"
5.600063075,5.497036007,5.501277023,5.426053653,5.499724467,"CTNNB1"
5.347429707,5.402810926,5.528944394,5.329548682,5.431536172,"CTNNB1"
7.228055407,7.771451418,7.241898939,7.86184251,7.811140721,"CTNNB1"
6.919482563,7.62827881,7.292919787,7.591047425,7.547036466,"CTNNB1"
5.868658369,5.743776951,5.948091083,5.759018632,5.796940387,"CTNNB1"
5.386087212,5.697133094,5.523752967,5.721996381,5.33774968,"CTNNB1"
5.333401305,5.376771153,5.508910955,5.468651961,5.777934729,"CTNNB1"
6.067504194,5.964796039,6.055752556,6.100904552,6.233894278,"EGFR"
5.434499994,5.462569638,5.342424439,5.225369808,5.42431484,"EGFR"
5.400263299,5.52393892,5.433510618,5.498307063,5.315206097,"EGFR"
6.142571609,6.228044466,6.015821215,6.326552336,6.269760637,"EGFR"
5.50485293,5.68721531,5.703860288,5.48561166,5.59024377,"ERBB2"
5.391739712,5.3177033,5.198568061,5.331495539,5.385057659,"ERBB2"
9.945820516,9.837283387,9.713452599,9.992094266,9.7901382,"ERBB2"
6.395760401,6.413088276,5.840395972,6.431347,6.075310479,"ERBB3"
9.861168102,9.868364014,9.636642179,9.89357075,9.280715331,"ERBB3"
5.651485776,5.584654244,5.624182355,5.835186279,5.602126347,"ERBB3"
5.628251621,5.781270207,5.531842917,5.661923447,5.81323195,"ERCC1"
5.964843966,6.298202399,6.014353505,6.174285579,6.253804306,"ERCC1"
8.439071347,8.057560264,8.197289153,8.187744823,8.315187533,"ERCC1"
8.497007733,8.126294848,8.191444108,8.170690008,8.208708174,"ERCC1"
9.990169835,9.835558688,9.617931208,9.394088492,9.622710784,"ESR1"
6.156756753,6.574027676,6.397691918,6.425811437,6.52422745,"HIF1A"
6.375195372,7.105451491,6.764851612,7.385442068,7.057671001,"HIF1A"
7.9152542,7.386039654,7.772868577,7.542052419,7.689171874,"HIF1A"
10.78680573,8.816722385,9.044621208,9.752260748,10.48328816,"IGFBP3"
10.06465541,8.011909357,8.555625097,9.009576733,9.705520646,"IGFBP3"
5.799279395,5.709185288,5.728711161,5.700783472,5.659145788,"MAPK1"
6.188132601,6.514427783,6.193693444,6.327745803,6.322787541,"MAPK1"
6.528297348,6.650515886,6.208392761,6.601116584,6.522642175,"MAPK1"
7.083565772,7.135238475,7.278525984,7.599422823,7.309584272,"MET"
7.664845465,7.81160139,7.891463205,7.759085793,7.828491332,"MLH1"
6.378011104,6.451681263,6.551462767,6.297245171,6.46301858,"MSH2"
5.857308424,5.855360586,5.680108558,5.688538934,5.793504198,"MSH2"
9.93451805,10.11547758,9.925174967,9.648595492,9.92278806,"MSH6"
8.518206487,9.80890334,9.333514907,9.153317036,9.190176173,"MYC"
7.542407225,8.267978108,7.807740432,7.318623848,8.003357636,"MYC"
8.471904214,8.153796129,8.562682986,8.679314255,8.738727577,"NCOA3"
5.551144389,5.535197574,5.781919453,5.564130855,5.698473895,"NCOA3"
5.405644903,5.425178775,5.507714238,5.247119454,5.566555629,"PGR"
5.546050509,5.654979682,5.534590594,5.570866128,5.6000737,"PMS2"
7.068376634,7.764107013,6.995238839,7.286452599,7.252738769,"PMS2"
5.648648492,5.619279554,5.653632078,5.47858138,5.43481487,"PMS2"
7.50024268,7.542123299,7.268133584,7.58909067,7.472047127,"PTEN"
12.654669,13.03727706,12.60695184,12.61704882,12.91059311,"RPS6"
12.31751293,12.28326702,12.1430344,12.10213457,12.16031209,"RPS6"
5.769647967,5.684910836,5.601598668,5.965911806,5.812989379,"SERPINE1"
10.27253357,10.28693671,9.686744278,9.721701954,10.44425012,"VIM"
9.763145838,9.638167398,8.900513167,9.230381441,9.825439475,"VIM"
