"OV1002 CarboTax Day1 3","OV1002 CarboTax Day2 3","OV1002 CarboTax Day4 3","OV1002 CarboTax Day7 3","OV1002 CarboTax Day14 3","Molecule"
5.709107824,5.876335675,5.919743455,5.734678159,5.678162438,"AKT1"
9.773074706,10.11749017,10.31027075,10.53298988,10.06678565,"AKT1"
10.56719114,10.70859749,10.29718703,10.5984957,10.36996133,"AKT1"
5.923448506,6.206763263,5.863018228,5.977054074,6.042669231,"BRCA1"
6.485319007,6.648203432,6.774680919,6.716820302,6.574078159,"BRCA1"
5.857458104,6.11554851,5.994070762,5.590964333,5.840753976,"BRCA1"
6.313852877,5.856466822,6.145810824,5.957722111,6.196637056,"BRCA1"
8.503375841,8.564058974,8.802316903,8.647475841,9.301206995,"CCNB1"
10.74802652,10.74174491,10.32960661,10.3855331,10.72456422,"CCND1"
10.85256359,10.62214119,10.62166066,10.63084756,10.77173537,"CDH1"
7.120730373,6.971662175,7.71132318,7.718349567,7.175952669,"CDK2"
9.938411324,9.978957777,10.33493592,10.15852904,10.14801812,"CDK2"
7.335448048,7.388794234,7.404286423,7.677674744,7.504923,"CDKN1B"
7.508701483,7.256508641,7.531605403,6.688597728,7.797695311,"CDKN1B"
10.1153044,10.05925069,9.838705612,10.15572046,10.06416576,"CLDN7"
5.592792737,5.505359933,5.154947508,5.60386383,5.52233819,"CTNNB1"
5.435663482,5.349133445,5.500329941,5.279242585,5.416607632,"CTNNB1"
7.595674458,7.628110329,7.648904248,7.850964806,7.762622425,"CTNNB1"
7.417200026,7.639257511,7.46014624,7.668263995,7.708651246,"CTNNB1"
5.778892457,5.735234779,5.874225075,5.69382587,5.76137251,"CTNNB1"
5.550326774,5.237422285,5.648858245,5.415802703,5.566582037,"CTNNB1"
5.58801847,5.645988562,5.714175445,5.467595701,5.61539139,"CTNNB1"
6.133131565,5.877494413,6.168562416,5.995736218,6.211148732,"EGFR"
5.357948643,5.303036052,5.496265728,5.089117371,5.396784316,"EGFR"
5.276666561,5.467594039,5.361056146,5.415096061,5.443985697,"EGFR"
6.195472906,6.031905872,6.265643038,5.88285903,6.113652304,"EGFR"
5.578347305,5.763883188,5.553166824,5.473061265,5.556837614,"ERBB2"
5.206587459,5.456340008,5.445538355,5.119313304,5.232847507,"ERBB2"
10.07647359,9.635189204,9.530101591,9.924076874,9.788972897,"ERBB2"
6.094381615,6.178759976,6.118680783,6.36748789,6.008759163,"ERBB3"
9.730375614,9.717918185,9.431288678,9.512082161,9.348161339,"ERBB3"
5.701930155,5.621863384,5.676299454,5.60898812,5.763433277,"ERBB3"
5.787606082,5.831541022,5.62798373,5.887158738,5.733809762,"ERCC1"
6.114617941,6.734928808,6.070392085,6.533905607,6.352986822,"ERCC1"
8.125979526,8.112086857,7.954183252,8.371778008,8.026524501,"ERCC1"
8.116634316,8.227928065,7.963863838,7.971040654,8.046727887,"ERCC1"
9.772906233,9.422366236,9.305206341,9.215284477,9.617984137,"ESR1"
6.500884414,6.715809095,6.710658772,6.355167011,6.591985948,"HIF1A"
6.823499846,7.45648037,7.02823324,6.779732742,7.191150703,"HIF1A"
7.933296008,7.779188699,7.833031174,7.065244686,8.190933201,"HIF1A"
10.18579547,9.805545366,9.065119667,10.27217019,10.19726776,"IGFBP3"
9.029844143,9.377247091,8.243311502,9.707555783,9.432227392,"IGFBP3"
5.769872096,5.8301876,5.613648786,5.424904148,5.741779547,"MAPK1"
6.366941351,6.165223724,6.265245381,6.605346991,6.253094664,"MAPK1"
6.152510998,6.671890958,6.363077368,6.506430023,6.534653034,"MAPK1"
7.551736709,7.19254465,7.31055368,7.175650566,7.716041484,"MET"
7.708460837,7.517820147,7.716473001,8.046661138,7.69670487,"MLH1"
6.260091895,6.461387912,6.514936009,6.239858257,6.549489319,"MSH2"
5.846958371,6.175992448,5.911763511,5.627755538,5.863798004,"MSH2"
9.8992733,9.621974823,10.05383874,9.514902261,10.05231988,"MSH6"
9.195053033,9.932129735,9.88551494,9.744714724,9.262599481,"MYC"
7.89306069,8.407192392,8.398656641,7.367630127,8.252297114,"MYC"
8.444653566,8.25477237,8.400703202,8.430666043,9.025414487,"NCOA3"
5.76539957,5.707335023,5.848990845,5.427944727,5.617870792,"NCOA3"
5.342094922,5.599283501,5.404330107,5.448591888,5.582168813,"PGR"
5.42471195,5.568413673,5.653802501,5.937426296,5.866464416,"PMS2"
7.195119186,7.42182292,7.355817372,7.029836479,7.018819812,"PMS2"
5.496984774,5.378834169,5.481050479,5.376013995,5.441368507,"PMS2"
7.444928568,7.509343831,7.333631581,7.298137625,7.593155191,"PTEN"
12.61754018,12.91831318,12.99862295,12.85218434,12.93268371,"RPS6"
12.05191188,12.42847717,12.22004066,12.21548715,12.08735426,"RPS6"
6.008263638,5.695755765,5.931895078,5.456505481,5.749622657,"SERPINE1"
10.21138764,10.45294982,10.19475057,10.1990763,9.878366513,"VIM"
9.449548506,9.873204843,9.329738511,9.33736734,9.176692868,"VIM"
