"OV1002 Control Day1","OV1002 Control Day7","OV1002 Control Day14","Molecule"
6.037010916,5.851491238,5.606804043,"AKT1"
10.02814448,10.25695001,9.952545347,"AKT1"
10.52299499,10.60813501,10.46474905,"AKT1"
6.158889841,6.054842578,5.808864289,"BRCA1"
6.53877903,6.354968491,6.421250327,"BRCA1"
5.885520173,5.988790944,5.825957371,"BRCA1"
5.911873886,6.0599767,6.026761859,"BRCA1"
8.690161072,8.491732081,8.599421785,"CCNB1"
10.45813588,10.63054877,10.26996724,"CCND1"
10.77432068,10.87928644,10.86916929,"CDH1"
7.136651811,7.047882947,7.451065089,"CDK2"
9.718141735,9.835993922,9.88987885,"CDK2"
7.570101217,7.499788722,7.304980942,"CDKN1B"
7.554195971,6.991681343,7.4939999,"CDKN1B"
10.38442336,10.04031554,10.00607174,"CLDN7"
5.630468101,5.393327478,5.638122992,"CTNNB1"
5.426573174,5.539984449,5.467156836,"CTNNB1"
7.666320154,7.716216304,7.967798177,"CTNNB1"
7.440521938,7.680095329,7.700055542,"CTNNB1"
5.777275339,5.71627089,5.816385678,"CTNNB1"
5.459163273,5.628983323,5.625399412,"CTNNB1"
5.525409731,5.567032241,5.590694755,"CTNNB1"
6.101896066,6.146792584,6.097313108,"EGFR"
5.455933405,5.330890523,5.330024554,"EGFR"
5.285954036,5.545666023,5.297955415,"EGFR"
6.286858513,6.059011792,6.015201181,"EGFR"
5.617738254,5.350974631,5.444687611,"ERBB2"
5.247155638,5.372174457,5.325115648,"ERBB2"
9.790736033,9.842525043,9.836264625,"ERBB2"
6.048339201,6.161642892,6.064710087,"ERBB3"
9.757410266,9.693359973,9.580909191,"ERBB3"
5.999152792,5.697445738,5.745492156,"ERBB3"
5.721229931,5.881771396,5.781877844,"ERCC1"
6.234365708,6.315837749,6.546908572,"ERCC1"
8.372823372,8.308982193,8.220084291,"ERCC1"
8.297418613,8.368418218,8.410861119,"ERCC1"
9.695275985,9.749229095,9.769007676,"ESR1"
6.256597389,6.328441537,6.34929393,"HIF1A"
7.127714016,6.984164127,6.898858852,"HIF1A"
7.511873818,7.251500063,7.099409596,"HIF1A"
10.86408417,10.15622823,9.393492238,"IGFBP3"
10.43019681,9.733621935,8.613467766,"IGFBP3"
5.723254781,5.834189673,5.571047128,"MAPK1"
6.356490992,6.385452801,6.392872775,"MAPK1"
6.489323483,6.348483295,6.446038577,"MAPK1"
7.106431767,7.216758457,7.05113678,"MET"
7.78692054,7.598195584,7.713151873,"MLH1"
6.280813363,6.270045098,6.528139413,"MSH2"
5.726608776,5.639325548,5.838273355,"MSH2"
9.925602956,9.598242661,9.904240547,"MSH6"
8.97239619,9.502955353,9.465866724,"MYC"
7.36439906,7.585755967,8.002904113,"MYC"
8.417264836,8.363768849,8.238122558,"NCOA3"
5.720814614,5.644371547,5.679294325,"NCOA3"
5.277524626,5.468840097,5.420475158,"PGR"
5.864294559,5.524662353,5.748542051,"PMS2"
7.418372856,7.340888108,7.807664834,"PMS2"
5.717237633,5.435006909,5.58558584,"PMS2"
7.690112506,7.459651134,7.304082835,"PTEN"
12.76186257,12.96707472,12.81866825,"RPS6"
12.27358051,12.22929331,12.32257954,"RPS6"
5.85312886,5.51848555,5.707488745,"SERPINE1"
10.65335354,10.69859494,10.19235542,"VIM"
9.804844217,10.04160031,9.418181427,"VIM"
