"OV1002 Control Day1 1","OV1002 Control Day7 1","OV1002 Control Day14 1","Molecule"
5.51883975,6.12669957,6.12447972,"AKT1"
10.21080563,10.6313912,10.02913201,"AKT1"
10.48522536,10.55137855,10.4026371,"AKT1"
6.087903795,6.410438532,6.040035975,"BRCA1"
6.511131537,6.665927043,6.484665272,"BRCA1"
5.67869707,5.626687771,5.846334289,"BRCA1"
5.747237762,5.38187159,6.015513241,"BRCA1"
8.870479123,8.255842539,8.584028366,"CCNB1"
10.57562385,11.02318439,10.26208903,"CCND1"
10.74392426,10.78541411,10.70688792,"CDH1"
7.151695597,7.444370069,7.133076337,"CDK2"
9.69488912,9.389593568,9.812187956,"CDK2"
7.647746997,7.738765109,7.42715913,"CDKN1B"
7.742499107,7.02052102,7.400799003,"CDKN1B"
9.987395799,9.81017036,10.03551299,"CLDN7"
5.800194661,5.426716983,5.425989509,"CTNNB1"
5.228729968,5.435682063,5.239501496,"CTNNB1"
7.581477367,7.636654561,7.704418792,"CTNNB1"
7.398651033,7.45438429,7.46491732,"CTNNB1"
5.84553453,5.829089044,5.713524002,"CTNNB1"
5.632405476,5.400894764,5.317852183,"CTNNB1"
5.661789907,5.494212155,5.524790343,"CTNNB1"
5.999067009,6.188710641,6.18252594,"EGFR"
5.396115535,5.221198486,5.332851422,"EGFR"
5.403497767,5.466104493,5.343146129,"EGFR"
6.285243325,6.15907688,6.316656989,"EGFR"
5.585378973,5.530176055,5.538679911,"ERBB2"
5.202860463,5.34606579,5.318656014,"ERBB2"
9.904767331,9.656738657,9.600436992,"ERBB2"
6.152170795,6.491143131,6.2149445,"ERBB3"
9.518086169,9.410965113,9.470593684,"ERBB3"
5.54434945,5.527984717,5.588681942,"ERBB3"
6.050011529,5.953968976,5.7298034,"ERCC1"
6.383114211,6.653255484,6.659995874,"ERCC1"
8.410009373,8.601076897,8.458995766,"ERCC1"
8.385911693,8.32545301,8.467560205,"ERCC1"
9.668498439,9.40760503,9.533840642,"ESR1"
6.136684709,5.87804896,6.403747181,"HIF1A"
6.686234949,6.367758867,6.992745397,"HIF1A"
7.561219737,6.746077156,7.468235436,"HIF1A"
10.60854999,11.06057012,10.66869809,"IGFBP3"
9.921276668,10.75158972,10.15071042,"IGFBP3"
5.605184689,5.547751196,5.814101584,"MAPK1"
6.18827545,6.427538691,6.374389912,"MAPK1"
6.58654519,6.358781153,6.437330424,"MAPK1"
7.317945218,7.235723174,7.227603852,"MET"
7.530938571,7.707929669,7.72798211,"MLH1"
6.306660676,6.330345322,6.36180391,"MSH2"
5.652470423,5.491180427,5.837770183,"MSH2"
9.664342651,9.426320539,9.839041887,"MSH6"
8.907369966,9.928660698,9.499517829,"MYC"
7.684385675,7.492654015,8.094324541,"MYC"
8.662416074,8.190875771,8.348564401,"NCOA3"
5.718866254,5.853921444,5.647087371,"NCOA3"
5.383384811,5.384668942,5.451620484,"PGR"
5.803224478,5.692142433,5.60136696,"PMS2"
7.118864131,7.619683793,7.437229269,"PMS2"
5.542325765,5.452347348,5.48371425,"PMS2"
7.427693526,7.661928084,7.419205286,"PTEN"
12.7592848,13.00658098,13.02824436,"RPS6"
12.29342185,12.23097101,12.35846191,"RPS6"
5.81627245,5.688416852,5.914109496,"SERPINE1"
10.55813878,10.33780486,10.76140389,"VIM"
10.02852567,10.04403052,9.824190277,"VIM"
