"OV1002 Control Day1 2","OV1002 Control Day7 2","OV1002 Control Day14 2","Molecule"
2.58226665219755,2.5383583522294,2.52902573497507,"AKT1"
3.32847050777526,3.38620937052632,3.25676710081491,"AKT1"
3.40864216577564,3.55253772584203,3.3001425897137,"AKT1"
2.56910613080458,2.61180355307462,2.64078170162887,"BRCA1"
2.74862251937681,2.70312326734325,2.68810027120049,"BRCA1"
2.64078170162887,2.54748595509981,2.5971621144071,"BRCA1"
2.5971621144071,2.5971621144071,2.5383583522294,"BRCA1"
3.0852299748186,3.0852299748186,3.06419258149948,"CCNB1"
3.44141934666696,3.40864216577564,3.32847050777526,"CCND1"
3.55253772584203,3.44141934666696,3.44141934666696,"CDH1"
2.81375827879612,2.83248604352084,2.81375827879612,"CDK2"
3.24417327042755,3.3001425897137,3.16340247265061,"CDK2"
2.88507839139755,2.9359578240166,2.90072338505105,"CDKN1B"
2.9359578240166,2.92019935660167,2.92019935660167,"CDKN1B"
3.2775744505555,3.32847050777526,3.24417327042755,"CLDN7"
2.47271035548191,2.45621137564512,2.51056919633973,"CTNNB1"
2.43849814013374,2.44694578859473,2.49452082511373,"CTNNB1"
2.92019935660167,2.97095280643687,2.99355483914712,"CTNNB1"
2.83248604352084,2.90072338505105,2.97095280643687,"CTNNB1"
2.54748595509981,2.51056919633973,2.55889291291797,"CTNNB1"
2.44694578859473,2.42727975596447,2.44694578859473,"CTNNB1"
2.49452082511373,2.49452082511373,2.46444997412691,"CTNNB1"
2.6589363565952,2.67431031887822,2.67431031887822,"EGFR"
2.46444997412691,2.41409397254346,2.42727975596447,"EGFR"
2.45621137564512,2.43849814013374,2.41409397254346,"EGFR"
2.61180355307462,2.6259864589759,2.6259864589759,"EGFR"
2.41409397254346,2.48744393523453,2.50293837462382,"ERBB2"
2.39553985197135,2.47271035548191,2.39553985197135,"ERBB2"
3.25676710081491,3.2775744505555,3.22987894607329,"ERBB2"
2.6259864589759,2.68810027120049,2.61180355307462,"ERBB3"
3.21823074739713,3.25676710081491,3.18579038000884,"ERBB3"
2.51056919633973,2.4801691705482,2.4801691705482,"ERBB3"
2.52902573497507,2.56910613080458,2.58226665219755,"ERCC1"
2.67431031887822,2.74862251937681,2.6589363565952,"ERCC1"
3.03783660385353,3.03783660385353,3.01943908347727,"ERCC1"
3.01943908347727,3.01943908347727,3.03783660385353,"ERCC1"
3.16340247265061,3.20197879365459,3.21823074739713,"ESR1"
2.68810027120049,2.73103343296509,2.74862251937681,"HIF1A"
2.79211933830568,2.79211933830568,2.79211933830568,"HIF1A"
2.95194691433768,2.81375827879612,2.84768910891706,"HIF1A"
3.38620937052632,3.22987894607329,3.55253772584203,"IGFBP3"
3.18579038000884,3.13430684894822,3.38620937052632,"IGFBP3"
2.48744393523453,2.50293837462382,2.48744393523453,"MAPK1"
2.73103343296509,2.6589363565952,2.71624233690494,"MAPK1"
2.70312326734325,2.71624233690494,2.73103343296509,"MAPK1"
2.8640253939867,2.8640253939867,2.83248604352084,"MET"
2.97095280643687,2.99355483914712,2.9359578240166,"MLH1"
2.71624233690494,2.64078170162887,2.70312326734325,"MSH2"
2.55889291291797,2.55889291291797,2.56910613080458,"MSH2"
3.22987894607329,3.24417327042755,3.20197879365459,"MSH6"
3.13430684894822,3.18579038000884,3.13430684894822,"MYC"
2.99355483914712,2.88507839139755,2.88507839139755,"MYC"
3.06419258149948,3.06419258149948,3.0852299748186,"NCOA3"
2.51881264922974,2.51881264922974,2.47271035548191,"NCOA3"
2.42727975596447,2.39553985197135,2.43849814013374,"PGR"
2.50293837462382,2.52902573497507,2.51881264922974,"PMS2"
2.84768910891706,2.84768910891706,2.8640253939867,"PMS2"
2.4801691705482,2.46444997412691,2.45621137564512,"PMS2"
2.90072338505105,2.95194691433768,2.95194691433768,"PTEN"
3.73170874351933,3.73170874351933,3.73170874351933,"RPS6"
3.65992229412316,3.65992229412316,3.65992229412316,"RPS6"
2.5383583522294,2.58226665219755,2.54748595509981,"SERPINE1"
3.3001425897137,3.21823074739713,3.40864216577564,"VIM"
3.20197879365459,3.16340247265061,3.2775744505555,"VIM"
