condition,ERCC1,MLH1,MSH2,MSH6,BRCA1,PMS2,EGFR,HER2,HER3,AKT,ERK,ER,PgR,BetaCatenin,PTEN,AIB1,Myc,CDK2,CyclinD1,CyclinB1,P27,PAI,HIF1alpha,Claudin7,MET,Ecadherin,S6,IGFBP3,Vimentin
OV1002_D1_Carbo,-0.323700276,0.013737816,0.152014469,-0.169546396,-0.258819677,-0.424710086,-1.047002713,-0.046144395,-0.172668274,-0.211758849,0.042222259,-0.473873354,0.032026842,0.008211591,-0.453864996,0.070573068,0.009432916,0.08601663,0.024275303,0.643004552,0.333631147,-0.258910371,-0.394644857,0.477222475,0.033146681,0.001262056,-1.096105117,0.015050757,0.31323052
OV1002_D1_Carbo/Tax,0.420529799,0.065479677,0.403506491,0.048962525,0.365353975,0.257396302,0.003822373,0.736014898,0.185635089,0.010616737,0.069667932,-0.313479933,-0.001216053,0.125520331,-0.142850648,0.27025644,0.341454052,0.292101893,0.197137685,0.753392281,0.113998269,0.306895686,0.635135545,0.665576582,0.204796822,0.292190076,0.023388021,-0.028246499,-0.126723274
OV1002_D2_Carbo,0.225315312,0.426455521,0.309138434,0.299296656,0.158648715,0.179307651,-0.045175613,0.148099342,-0.406087597,0.018537549,0.098857138,0.218637047,-0.176831613,0.11303163,-0.12917786,0.225777253,0.013609723,0.429533739,0.181147082,0.468897637,0.178360404,-0.108483153,0.220493144,0.065443723,-0.054967782,0.21023356,-0.181956584,-0.163034685,0.209108247
OV1002_D2_Carbo/Tax,0.002725394,0.299824023,0.343590428,0.04554827,-0.124057917,-0.162287874,-0.726087559,-0.084633298,-0.918739925,-0.262309057,-0.062812987,-0.192064688,-0.188250597,-0.014620923,-0.486904025,0.24398051,-0.015098199,0.425699367,0.544861673,0.613516093,0.248343548,-1.36727963,-0.512637984,0.240570988,0.035034493,-0.092377721,-0.16875107,-0.000657556,0.024107718
OV1002_D4_Carbo,0.07374992,0.072064657,0.136169671,0.109118554,0.008391943,-0.106835559,0.856617857,0.118741354,-0.346512622,0.098881417,0.08289628,-0.283553332,-0.469888715,0.000994757,0.042437081,-0.397997455,-0.077570698,0.471755702,-0.075488361,0.760764157,-0.164542154,-0.326173409,0.140740362,0.087768362,0.019520162,0.163390387,0.29715662,0.042973421,0.021163775
OV1002_D4_Carbo/Tax,0.084085447,0.202865077,0.274459538,0.260137574,-0.035169868,-0.020542906,1.084107473,0.411541082,0.357466792,0.00487176,0.457718319,-0.700462393,-0.052202958,0.107163558,0.27702186,0.055343279,0.173528888,0.650839582,0.764221867,1.320809378,0.233833436,1.033160962,-0.042545942,0.303675983,0.095248303,0.260361067,0.368227209,0.231473758,-0.317458154
OV1002_D7_Carbo,0.007943234,-0.129468011,0.152222112,0.115725763,-0.053786034,-0.113420561,0.800315055,-0.448004234,0.13027542,0.218472927,0.384156857,-0.35052555,0.40120722,0.054661024,-0.248225736,-0.290613517,-0.05964215,0.369663494,0.59935014,0.893912958,0.180271114,-0.211756016,-0.4741625,0.336750645,0.071764808,0.066119265,0.415560784,0.155283594,0.180860387
OV1002_D7_Carbo/Tax,0.058890604,0.129350535,0.167930873,0.096066599,0.047422903,0.008824075,1.077725004,0.319645225,-0.277035455,0.316020666,0.084146084,0.085871392,-0.03281078,0.185185026,0.117801545,-0.453008167,0.009395577,0.365927615,0.373770223,1.183523067,-0.356924135,-0.159815553,-0.085322204,0.658839157,0.226262716,0.208825801,0.439478428,0.111469103,0.049549271
OV1002_D14_Carbo,0.249451631,0.240376106,0.267304581,0.261588596,0.266061537,0.265245904,1.114605533,0.357542942,-0.273777806,0.006240575,0.065909668,-0.206960214,0.268146886,0.284654214,-0.124056974,0.185886741,0.170093611,-0.103948025,0.399897959,1.110224848,0.093026526,-0.498096889,-0.548027934,0.62890976,0.30986558,0.171948131,0.416931148,0.164562197,0.417151642
OV1002_D14_Carbo/Tax,0.325191948,0.49317829,0.499160673,0.460812544,0.269853379,0.142600009,0.727695495,0.6789222,0.039487718,0.184381595,0.793259522,0.547926527,0.440436895,0.425447584,-0.149175903,0.346992077,0.210423322,0.474929971,0.308118092,1.28414194,0.519749348,-0.843190398,-0.251005333,1.247381626,0.550328791,0.160297575,-0.158089058,0.042230921,0.305717769
